PERIOD,BASE_REGIONAL_SCENARIO_CASES,REGIONAL_SCENARIO_CASES,REGIONAL_DYNAMIC_RATIO,ALLOCATED_MUNICIPAL_CASES,NEW_INFECTIONS_ESTIMATE,NEW_ART_ENROLLMENTS,NEWLY_VIRALLY_SUPPRESSED,TREATMENT_INTERRUPTION,PLHIV_ATTRITION,TOTAL_POPULATION,PLHIV_UNDIAGNOSED,PLHIV_DIAGNOSED_NOT_ON_ART,PLHIV_ON_ART_UNSUPPRESSED,PLHIV_VIRALLY_SUPPRESSED,TOTAL_PLHIV,EFFECTIVE_INFECTIOUS_POOL,ACTIVE_TESTING_CENTERS,NEW_TESTING_CENTERS_OPENED,PENDING_TESTING_CENTERS,MEAN_TESTING_ACCESS_SCORE,MEAN_ART_COVERAGE,MEAN_VIRAL_SUPPRESSION_COVERAGE,LOWER_95_SUM,UPPER_95_SUM,HOT_SPOT_MUNICIPALITIES,HIGH_OR_CRITICAL_PRESSURE,ACTIVE_ALERTS,GLOBAL_MORANS_I,MAX_TRANSMISSION_PRESSURE,REGIONAL_PLHIV_PREVALENCE_PER_100K,REGIONAL_EFFECTIVE_INFECTIOUS_POOL_PER_100K
2033-01,30.955451390870802,11.404826001116213,0.3684270617510574,11.404826001116213,4.377294199871149,40.29647709079934,45.75514248008139,17.386221618010474,4.011567379037848,4912697.107092215,129.41650998659074,213.1524501520655,363.7934845100083,8171.21255491954,8877.574999568205,485.54353212332023,57.0,0,0,0.6461488747456605,0.930001092212512,0.8773771970254354,0.0,86.62629112005807,10,11,13,0.3951615003186145,90.72374594456471,180.70674430043925,9.88344124498059
2033-02,157.86533556971617,24.551523574504373,0.15552194207741052,24.551523574504373,15.55707437607834,40.54569952045241,44.77123428548687,17.42823974914547,4.00833897226898,4916575.710414845,122.73229291396781,214.32901013851662,357.7404634134623,8196.816575633744,8891.618342099691,443.96066344930665,57.0,0,0,0.6460120333588861,0.931529131295897,0.879176766105409,0.0,113.71581671454042,9,7,9,0.4290456814886658,90.80022974841528,180.84982039968313,9.029875458011542
2033-03,194.8313936015421,34.264294880266014,0.17586639528094417,34.26429488026601,18.81115959174042,42.319032671819826,44.126887935985934,17.478309452883472,4.006964855343463,4920542.761283461,109.79683490177294,223.48407870168649,354.11644484065454,8221.707798334657,8909.10515677877,430.0001591253251,57.0,0,0,0.645872528638191,0.9329405777351761,0.8805610671616446,0.0,133.178781236355,8,8,10,0.4483874843274256,92.26596428392597,181.0593991150469,8.738876583061439
2033-04,170.35997748292905,32.70555839181151,0.1919791190104423,32.70555839181151,16.734451169824464,43.331487817719534,43.670938024090205,17.53384537525517,4.003353030325777,4924598.158615967,96.74483361439408,230.11552425745236,351.9647757313147,8246.075562503018,8924.900696106179,459.4538891133243,57.0,0,0,0.6457303589104753,0.9347952085378097,0.8821771460370214,0.0,130.05383354659543,8,10,11,0.43800768654284156,91.20458771837441,181.23104482121798,9.329774213343155
2033-05,69.0452127912694,18.35115984023221,0.2657846807672185,18.35115984023221,7.791110794113482,41.699705302885846,43.066749523312474,17.584707638878328,3.992541716321469,4928716.565938619,89.75069711721055,224.08246440995666,348.7939167940885,8269.772927699758,8932.400006021015,488.18416095435254,57.0,0,0,0.645586287728189,0.9372639275033284,0.8845106121122077,0.0,101.42216152755354,8,9,10,0.43652126918710515,91.71746009493805,181.2317646291746,9.904894193512694
2033-06,135.51817933477705,22.96514773655723,0.1694617493334627,22.965147736557228,13.542262885172272,41.365326092387015,42.50423970293718,17.635112635536224,3.9891480484783353,4932854.251877421,83.73690294686466,223.0494178112355,345.85884485206196,8292.842839974073,8945.488005584235,452.8398611838,57.0,0,0,0.6454416388843752,0.9391156661567067,0.8862948682823634,0.20284357670515618,110.54791155974283,8,8,10,0.4194616996880241,83.686859547255,181.34507019297448,9.180077862861067
2033-07,95.38436265979693,20.331412915033614,0.2131524743479048,20.331412915033614,9.852646530036155,40.404943671326606,41.8875420210303,17.68336047056512,3.981827314941457,4936960.8364105355,76.76574244587081,220.394456428477,342.5889959636966,8315.232557441352,8954.981752279396,429.66963827891794,57.0,0,0,0.6452979414445517,0.9412853884284716,0.8884506581811347,0.0,105.38234861583987,8,8,10,0.4100634838374461,88.10517654016243,181.3865260229652,8.703120249811692
2033-08,106.52344549325827,20.036368053265843,0.18809350336432668,20.036368053265843,10.71811467673751,39.69323385280024,41.26067626310122,17.730055837786022,3.9760655788423933,4940992.795239709,70.68343783108517,218.20548529096857,339.24358063969134,8336.933430810686,8965.06593457243,399.34684425500564,57.0,0,0,0.6451565198258334,0.9433543008154237,0.8905591265679713,0.0,104.81516259602165,8,9,12,0.4075941159294267,87.89295109753657,181.44260285523237,8.08231990622912
2033-09,61.84628389728206,15.242659854025533,0.24646039977666948,15.242659854025533,6.732440014910928,38.21568334716952,40.53074989621184,17.77252128372281,3.966529540625584,4944925.105828081,65.30382083259136,212.74937710184952,335.16316965046997,8357.844183188005,8971.060550772916,399.6299970512998,57.0,0,0,0.6450181387311813,0.9455687321938964,0.8929181001628484,0.0,95.25894890335135,8,10,12,0.39728942744225354,95.38124558984332,181.41954344666692,8.081618801067311
2033-10,141.17790707020788,20.57940232633584,0.14576928326400027,20.579402326335842,13.708640534278612,38.29373176099564,39.9224086713854,17.815440599225578,3.9651370844212654,4948757.917079433,60.91128789756907,212.59506768049562,331.7794958267615,8378.08793586311,8983.373787267936,368.8221765467581,57.0,0,0,0.64488279813617,0.9471565525625806,0.8946639965284638,0.0,106.13486006219873,8,6,9,0.3828842223081058,83.9758324211535,181.5278487610802,7.452823167483262
